ethnicity,region,total,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 and over
Mixed/multiple ethnic group: White and Black Caribbean,north west,39204,5283,2801,1766,4848,1026,1969,1964,4259,3067,2230,1987,2162,1984,1205,687,575,420,323,269,210,169
Mixed/multiple ethnic group: White and Black African,north west,18392,3719,1630,814,1824,321,643,649,1543,1366,1272,1017,945,828,653,438,274,195,107,71,54,29
Mixed/multiple ethnic group: White and Asian,north west,30529,6020,2825,1585,3634,706,1310,1330,3104,2179,1681,1428,1441,1215,675,423,349,205,132,127,82,78
Mixed/multiple ethnic group: Other Mixed,north west,22766,3875,1787,965,2278,480,834,832,2196,2173,1677,1277,1190,938,689,472,379,280,160,122,94,68
Asian/Asian British: Total,north west,437485,44949,24854,15250,34998,6841,13477,14681,44748,44378,44411,37537,29230,20247,18568,14792,9246,6016,6062,4092,2017,1091
Asian/Asian British: Indian,north west,107353,9553,5389,3126,7330,1401,2707,3205,9085,10647,11318,10165,7812,5826,5428,4758,3186,2120,1957,1337,631,372
Asian/Asian British: Pakistani,north west,189436,22345,12569,7883,17566,3282,6455,6299,16702,19354,19254,14398,11853,7608,7369,5845,3367,2208,2378,1566,759,376
Asian/Asian British: Bangladeshi,north west,45897,5852,3474,2268,4925,1011,1915,1678,4283,4373,4427,3723,2427,1358,1212,930,474,458,618,329,115,47
Asian/Asian British: Chinese,north west,48049,2758,1184,733,1995,538,1159,2038,10457,5318,4060,3412,3099,2991,2542,1846,1296,698,724,617,364,220
Asian/Asian British: Other Asian,north west,46750,4441,2238,1240,3182,609,1241,1461,4221,4686,5352,5839,4039,2464,2017,1413,923,532,385,243,148,76
Black/African/Caribbean/Black British: Total,north west,97869,9947,5351,2770,7014,1456,2709,3087,7617,8710,10111,8980,8797,7157,4675,2510,1570,1375,1636,1268,724,405
Black/African/Caribbean/Black British: African,north west,59278,6885,3514,1794,4613,944,1770,1982,4979,5912,7565,6375,4981,3099,2010,1042,693,413,351,181,88,87
Black/African/Caribbean/Black British: Caribbean,north west,23131,837,595,325,1010,240,469,617,1574,1541,1335,1548,2432,2848,2039,1199,693,832,1142,979,595,281
Black/African/Caribbean/Black British: Other Black,north west,15460,2225,1242,651,1391,272,470,488,1064,1257,1211,1057,1384,1210,626,269,184,130,143,108,41,37
Other ethnic group: Total,north west,44216,4711,2313,1300,2862,498,1112,1421,4124,5691,5714,4310,2976,2126,1767,1212,766,472,321,228,183,109
Other ethnic group: Arab,north west,24528,3120,1565,845,1745,296,659,865,2472,2926,2826,2198,1526,1096,891,580,333,194,165,119,78,29
Other ethnic group: Any other ethnic group,north west,19688,1591,748,455,1117,202,453,556,1652,2765,2888,2112,1450,1030,876,632,433,278,156,109,105,80
All categories: Ethnic group,south east,8634750,534235,299327,188731,512875,106916,217612,217156,534287,528057,538471,578011,644796,653258,567834,495765,535399,424290,339405,282391,218727,217207
White: Total,south east,7827820,447401,254619,163201,450089,94572,191807,190050,466057,454354,457784,505723,583284,605736,531867,469340,516470,411429,328624,275401,215114,214898
White: English/Welsh/Scottish/Northern Irish/British,south east,7358998,420966,242686,156071,432135,90979,184761,181420,432183,396557,397652,458279,544400,573325,506264,448808,497364,396090,315945,266174,208346,208593
White: Irish,south east,73571,1321,799,542,1540,339,626,776,2741,3171,3850,4834,6365,6755,5791,5694,6383,6279,5772,4460,3008,2525
White: Gypsy or Irish Traveller,south east,14542,1584,859,501,1447,310,578,493,1131,1022,938,957,1007,1006,800,547,477,309,249,169,91,67
White: Other White,south east,380709,23530,10275,6087,14967,2944,5842,7361,30002,53604,55344,41653,31512,24650,19012,14291,12246,8751,6658,4598,3669,3713
Mixed/multiple ethnic group: Total,south east,167764,31296,15543,8455,20478,3857,7530,6897,14298,11359,9632,8486,8071,6880,4433,2894,2333,1855,1334,967,626,540
Mixed/multiple ethnic group: White and Black Caribbean,south east,45980,7335,3842,2319,6338,1225,2398,2394,4648,3094,2337,2106,2153,1951,1124,626,555,422,416,295,208,194
Mixed/multiple ethnic group: White and Black African,south east,22825,5514,2462,1252,2802,470,840,760,1532,1351,1281,1095,1016,807,639,398,237,146,90,66,44,23
Mixed/multiple ethnic group: White and Asian,south east,58764,11770,6094,3153,7150,1358,2757,2326,4727,3682,2980,2656,2674,2279,1451,984,826,680,457,338,230,192
Mixed/multiple ethnic group: Other Mixed,south east,40195,6677,3145,1731,4188,804,1535,1417,3391,3232,3034,2629,2228,1843,1219,886,715,607,371,268,144,131
Asian/Asian British: Total,south east,452042,38794,20367,11885,29500,5902,13036,13912,39281,46132,51393,45354,35808,26034,21705,17413,12622,8001,6970,4481,2194,1258
Asian/Asian British: Indian,south east,152132,12750,6227,3369,7955,1486,3024,3581,10500,16232,19503,16001,12322,9313,8076,6740,4939,3468,2994,1978,1046,628
Asian/Asian British: Pakistani,south east,99246,11862,6396,3961,8534,1550,3077,2966,8224,10621,10789,7881,6284,4001,3787,3174,1835,1230,1410,1041,431,192
Asian/Asian British: Bangladeshi,south east,27951,3012,1820,1168,2712,464,884,925,2530,3176,3010,2602,1936,1127,939,548,306,225,306,168,62,31
Asian/Asian British: Chinese,south east,53061,2261,1081,689,2459,767,2293,2988,8121,5378,4850,4398,3796,3551,3212,2626,1874,925,843,536,256,157
Asian/Asian British: Other Asian,south east,119652,8909,4843,2698,7840,1635,3758,3452,9906,10725,13241,14472,11470,8042,5691,4325,3668,2153,1417,758,399,250
Black/African/Caribbean/Black British: Total,south east,136013,12779,6644,3792,9860,2019,3930,4605,10053,10931,14012,13333,13673,11313,7127,3977,2379,1916,1723,1092,543,312
Black/African/Caribbean/Black British: African,south east,87345,9464,4826,2648,6913,1438,2785,3250,6722,7643,10454,9627,8577,5749,3359,1803,977,476,317,180,79,58
Black/African/Caribbean/Black British: Caribbean,south east,34225,1291,834,563,1709,341,696,952,2432,2352,2460,2546,3735,4268,3073,1799,1156,1255,1283,825,422,233
Black/African/Caribbean/Black British: Other Black,south east,14443,2024,984,581,1238,240,449,403,899,936,1098,1160,1361,1296,695,375,246,185,123,87,42,21
Other ethnic group: Total,south east,51111,3965,2154,1398,2948,566,1309,1692,4598,5281,5650,5115,3960,3295,2702,2141,1595,1089,754,450,250,199
Other ethnic group: Arab,south east,19363,1925,979,631,995,206,406,736,2039,2182,2084,1775,1395,1076,825,647,544,407,239,148,66,58
Other ethnic group: Any other ethnic group,south east,31748,2040,1175,767,1953,360,903,956,2559,3099,3566,3340,2565,2219,1877,1494,1051,682,515,302,184,141
All categories: Ethnic group,south west,5288935,296094,166138,106551,296892,64003,128935,135139,333166,307159,296791,322364,375538,389583,350433,323198,361507,297440,235462,195666,153093,153783
White: Total,south west,5046429,269519,152930,98996,277976,60096,120966,125725,308910,284671,273679,301822,358162,375468,340034,316209,356634,293914,232516,193405,151842,152955
White: English/Welsh/Scottish/Northern Irish/British,south west,4855676,258830,148430,96243,270961,58694,118116,122127,294114,257638,248963,284555,344173,363565,329818,307631,348695,287637,227378,189563,148718,149827
White: Irish,south west,28616,433,283,220,532,124,234,354,1086,1194,1432,1659,2173,2414,2169,2341,2728,2599,2347,1825,1299,1170
White: Gypsy or Irish Traveller,south west,5631,520,311,172,529,101,216,181,447,410,394,412,437,414,310,207,186,156,105,67,32,24
White: Other White,south west,156506,9736,3906,2361,5954,1177,2400,3063,13263,25429,22890,15196,11379,9075,7737,6030,5025,3522,2686,1950,1793,1934
Mixed/multiple ethnic group: Total,south west,71884,12090,5903,3312,8242,1608,3040,3239,7178,5447,4402,3758,3509,3076,2077,1339,1087,921,578,492,312,274
Mixed/multiple ethnic group: White and Black Caribbean,south west,25669,4059,2031,1221,3204,643,1275,1368,2807,1886,1347,1174,1152,1053,739,390,320,313,235,203,126,123
Mixed/multiple ethnic group: White and Black African,south west,8550,1909,842,422,1016,165,324,298,692,574,557,461,382,302,209,151,88,74,35,24,18,7
Mixed/multiple ethnic group: White and Asian,south west,21410,3678,1765,1044,2491,498,918,954,2186,1477,1198,1080,1092,953,609,403,333,247,172,146,83,83
Mixed/multiple ethnic group: Other Mixed,south west,16255,2444,1265,625,1531,302,523,619,1493,1510,1300,1043,883,768,520,395,346,287,136,119,85,61
Asian/Asian British: Total,south west,105537,7954,4218,2534,6462,1484,3122,4113,11903,10887,11807,10880,8513,6133,4954,3662,2515,1521,1286,883,444,262
Asian/Asian British: Indian,south west,34188,3105,1557,809,1785,321,595,952,2790,3962,4463,3628,2700,1988,1666,1281,853,569,482,382,183,117
Asian/Asian British: Pakistani,south west,11622,1276,756,468,986,173,295,335,1084,1272,1233,1025,829,484,398,327,187,165,185,91,38,15
Asian/Asian British: Bangladeshi,south west,8416,940,506,348,798,174,246,258,805,888,943,834,573,365,298,175,70,69,71,38,7,10
Asian/Asian British: Chinese,south west,22243,831,407,284,978,397,1185,1654,4610,2144,1770,1567,1453,1375,1076,877,625,324,301,198,117,70
Asian/Asian British: Other Asian,south west,29068,1802,992,625,1915,419,801,914,2614,2621,3398,3826,2958,1921,1516,1002,780,394,247,174,99,50
Black/African/Caribbean/Black British: Total,south west,49476,5171,2464,1406,3427,675,1463,1571,3760,4286,4790,4276,4236,4069,2559,1387,839,792,888,764,424,229
Black/African/Caribbean/Black British: African,south west,24226,3021,1392,771,1846,357,867,945,2126,2421,3025,2514,1879,1236,789,409,259,165,113,48,27,16
Black/African/Caribbean/Black British: Caribbean,south west,15129,567,367,261,603,148,280,349,997,1068,982,1050,1483,1990,1366,786,461,517,685,606,364,199
Black/African/Caribbean/Black British: Other Black,south west,10121,1583,705,374,978,170,316,277,637,797,783,712,874,843,404,192,119,110,90,110,33,14
Other ethnic group: Total,south west,15609,1360,623,303,785,140,344,491,1415,1868,2113,1628,1118,837,809,601,432,292,194,122,71,63
Other ethnic group: Arab,south west,5692,582,277,134,227,47,127,217,598,709,738,602,372,273,239,195,149,93,62,28,15,8
Other ethnic group: Any other ethnic group,south west,9917,778,346,169,558,93,217,274,817,1159,1375,1026,746,564,570,406,283,199,132,94,56,55
All categories: Ethnic group,wales,3063456,178301,99429,63650,177748,37168,77111,84841,211924,185728,174694,183045,213155,220711,201599,186923,204885,166007,134543,108202,79232,74560
White: Total,wales,2928253,164198,92154,59592,167748,35205,72965,79925,196134,172335,161605,171425,203712,213580,195979,183026,202211,164041,132727,107030,78597,74064
White: English/Welsh/Scottish/Northern Irish/British,wales,2855450,160034,90344,58491,164981,34736,71862,78354,189814,162726,152947,165400,198616,209030,191925,179601,199115,161535,130670,105291,77146,72832
White: Irish,wales,14086,152,115,90,247,46,83,269,788,789,873,823,922,1048,967,1169,1341,1244,1106,939,601,474
White: Gypsy or Irish Traveller,wales,2785,347,141,103,271,50,116,97,247,202,176,168,202,181,136,91,75,66,52,35,16,13
